Index,Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz,Bxs_phase_100Hz,Bys_phase_100Hz,Bzs_phase_100Hz,Trial
184,7.0,6261.1470599511895,7364.588885843509,73479.56737822447,-1.2760012585407121,-1.8956175178153218,1.5230115747016262,2.0
185,8.0,6739.313251733077,7418.545637504302,74222.57252846548,1.2564416536835417,0.6468002079670935,-2.192332549377522,2.0
186,9.0,7250.428964580808,7469.531040383238,74665.70693287719,0.03146916214999979,-0.5469554404831618,2.8913445438777035,2.0
187,10.0,7820.27713817199,7525.981928691952,75029.68402169814,-1.210500590220337,-1.7337748653007146,1.685144979854992,2.0
188,11.0,8400.928346337012,7582.180080508169,75418.96363681003,-2.4192873547100215,-2.9641294970784813,0.48266387282987155,2.0
189,12.0,8948.0997023685,7633.187615140918,75852.35828197756,-1.1307001276286193,-1.629565776391518,1.7933559946232944,2.0
190,13.0,9482.219697896877,7670.112071109374,76339.94525247373,-2.381985054486263,-2.8593209323587034,0.5894191728613996,2.0
191,14.0,10052.659950782037,7685.962595474583,76901.36619899071,-1.066175129197374,-1.5414836963621206,1.8988845813361124,2.0
192,15.0,10689.26804497029,7700.37345476743,77534.73492345738,0.21917810912550584,-0.22801780858016685,-3.0725956557594203,2.0
193,16.0,11380.776539123353,7740.616759503329,78211.54227405769,-2.2405176180380946,-2.7028177673232565,0.748877983813796,2.0
194,17.0,12089.133799280991,7798.5060282022605,78927.70976922754,2.838078100017926,2.3921262671542487,-0.4510609192448099,2.0
195,18.0,12798.482275266235,7847.820397575379,79738.32517032218,-2.1601576889012617,-2.5732445019849197,0.85638972893694,2.0
196,19.0,13525.791158056938,7900.0842455163565,80676.97390066796,-0.864160619456163,-1.2607676597237174,2.1699292221987996,2.0
197,20.0,14252.40945966995,7974.006482183069,81531.49518120312,0.43684459081653165,0.028469361519959404,-2.8030385345177935,2.0
198,21.0,14869.259861794431,8008.25377918092,81756.59413375998,-0.7780933029863771,-1.1504659912699464,2.278069620309321,2.0
199,22.0,15312.632506608168,7929.938654709351,81103.33529029497,0.5245670423913691,0.12543121190316944,-2.695460451232089,2.0
200,23.0,15786.332686569896,7831.6541948754575,80555.1760757587,1.200029322477593,0.8325865562877054,-2.0116861104388133,2.0
201,24.0,16597.860573343976,7891.102426939853,81622.02491480959,0.0019230352601868391,-0.41207476171189034,3.067129343476961,2.0
202,25.0,17714.01980652653,8095.618180712714,84296.69013159761,1.9246692738577977,1.5517989550566404,-1.2773949368484943,2.0
203,26.0,18809.448239095585,8280.788079007194,87092.1734257778,-3.050784413365538,2.875009502749578,0.03399642343817439,2.0
204,27.0,19732.81502669581,8392.839170859364,89084.8450382272,-1.7484979969273164,-2.110791513531382,1.3462362258283265,2.0
205,28.0,20581.642394610815,8495.189609023137,90514.286272294,0.8170264430691738,0.4562663336985986,-2.3701674928456247,2.0
206,29.0,21422.610170930926,8617.052897361198,91854.94476321294,-0.3851389480397242,-0.7347031953657731,2.7104406092479927,2.0
207,30.0,22223.865729648052,8736.75090636988,93315.60756406983,-2.8503887454114447,3.075973770573524,0.25034421677320023,2.0
208,31.0,22981.80608519819,8851.84777876522,94921.73536099213,-1.5478904721814666,-1.8969272430292565,1.5609017502258598,2.0
209,32.0,23742.525050984914,8989.234166437944,96670.05714002211,2.281146349601097,1.9356758890791481,-0.8978377151747723,2.0
210,33.0,24531.426205979147,9160.75604640926,98605.0668361964,1.0784982455314693,0.7212589628869595,-2.0991872119081574,2.0
211,34.0,25338.1625265475,9362.537371328048,100766.93241496649,-1.385555860983849,-1.7403861524161053,1.7241595712806823,2.0
212,35.0,26149.09683884545,9588.667214057252,103094.6263597834,-2.586897443282149,-2.9282179480412305,0.5207138786568011,2.0
213,-35.0,12431.139117380875,8437.554985777617,83332.03830360346,2.4072015324696214,-0.6730262781340354,2.7412845418976133,3.0
214,-34.0,12340.036568290016,8338.54578484805,82723.29434948508,-0.06591061504017472,-3.1166716855725327,0.28140313099958764,3.0
215,-33.0,12227.708649863282,8276.36209531748,82068.81390477307,-2.5203236544610323,0.7054706458419748,-2.1787343481233132,3.0
216,-32.0,12096.38873896603,8240.50817700991,81392.85756480937,-1.2161409786396926,1.9834075646318403,-0.8693271104622508,3.0
217,-31.0,11957.275999162075,8191.734748394435,80752.43132394264,2.613472899720941,-0.4528183999909647,2.954645518251851,3.0
218,-30.0,11795.242976671732,8119.750013330807,80175.22338383863,2.6556358048261943,-0.41431796422255635,3.0095986417756824,3.0
219,-29.0,11587.144908201699,8055.353372551374,79634.31894819054,2.7066789370893547,-0.34887456923160004,3.060190197308279,3.0
220,-28.0,11338.989185237117,8016.554369655699,79090.11821108751,0.2429485931416663,-2.805997130039059,0.60122578134422,3.0
221,-27.0,11069.97422518484,7981.4803808346605,78572.5873037997,1.5449879112786307,-1.4955474769386463,1.909779468556581,3.0
222,-26.0,10790.694490618327,7924.119132064267,78127.13064448333,1.6036320240316289,-1.4302679233041486,1.9629818494288502,3.0
223,-25.0,10496.640870703019,7837.883660548888,77621.29879632432,-0.8736898950465833,2.364232039656565,-0.4958780761839593,3.0
224,-24.0,10155.725680527514,7724.0493462952145,76714.64272491261,-0.8208797810030649,2.429330682114398,-0.44324144744302363,3.0
225,-23.0,9738.153214464157,7592.508418252668,75286.6768532069,2.995646736057262,-0.03554360129460226,-2.902637104047176,3.0
226,-22.0,9267.890330211929,7470.312878217259,73743.61504970741,-0.10173457675113207,-3.1360126677224405,0.2932786915363033,3.0
227,-21.0,8794.812188864447,7368.875990561053,72472.35514079189,3.0822072984691853,0.05485305709822801,-2.7922157258941085,3.0
228,-20.0,8367.62850964652,7297.084377280816,71690.67957913982,1.2413920865389427,-1.7563626517818376,1.6589370785030204,3.0
229,-19.0,8033.514625522251,7302.002479770669,71763.71144988331,2.5339825535623914,-0.4570033790455486,2.9676967778173373,3.0
230,-18.0,7737.810533413947,7364.049135033276,72354.5040662948,0.6916846344017765,-2.2841912456424796,1.1393894373010691,3.0
231,-17.0,7349.376125693193,7372.977156847488,72487.28386248753,-1.8034242795764126,1.5609761062444822,-1.320099702060415,3.0
